id,epic,milestone,title,type,priority,size,status,owner_role,depends_on,req_ids,acceptance
T-028,E-02,M3,Query queue with per-user fairness,feature,P1,L,todo,architect,T-027,NFR-SCALE-04,"GA-only, deferred past the POC. One user issuing heavy queries does not increase p95 latency for others in load test."
T-029,E-02,M1,Artifact publish pipeline merge to serving plane,feature,P0,L,todo,architect,T-010 T-013,ADR-007 FR-GOV-08,Merging to main publishes an immutable artifact bundle that the serving tier picks up with no downtime.
T-030,E-02,M1,Data freshness signal per source,feature,P1,M,todo,fullstack,T-024,FR-CON-03,Every chart displays an accurate as-of timestamp for its underlying data.
T-031,E-03,M0,"Dashboard spec v0, grid layout and first four chart types",feature,P0,L,todo,fullstack,T-007 T-012,FR-VIZ-01 FR-VIZ-03 ADR-005,"A declarative dashboard spec renders line, bar, table and single-value KPI from live query results on a grid layout."
T-032,E-03,M1,Dashboard filters parameters and URL-encoded state,feature,P0,L,todo,fullstack,T-031,FR-VIZ-05,A filtered dashboard can be shared by URL and reopens in the same state.
T-033,E-03,M1,Cross-filtering and drill-down,feature,P0,L,todo,fullstack,T-032,FR-VIZ-04,Clicking a mark filters sibling charts and drills one level down the hierarchy.
T-034,E-03,M1,Drill-through to row-level detail,feature,P1,M,todo,fullstack,T-033 T-075,FR-VIZ-04 FR-SEC-04,Drill-through returns only rows the requesting user is permitted to see.
T-035,E-03,M3,Exports CSV XLSX PNG PDF honoring RLS,feature,P1,L,todo,fullstack,T-031 T-075,FR-VIZ-06,"GA-only, deferred past the POC. Every export path applies the same security context as the on-screen chart."
T-036,E-03,M3,Conditional formatting and threshold markers,feature,P2,M,todo,fullstack,T-031,FR-VIZ-08,A spec-declared threshold renders as a reference line and drives cell formatting.
T-037,E-03,M3,Responsive layout for tablet and phone,feature,P2,M,todo,fullstack,T-031,FR-VIZ-09,Dashboards remain readable and usable at tablet width and render read-only single-column on phones.
T-038,E-03,M3,Visual editor with lossless spec round-trip,feature,P1,XL,todo,fullstack,T-013 T-031 T-122,FR-VIZ-02,"GA-only, deferred past the POC. A dashboard edited in the UI produces a minimal, reviewable diff to its spec file."
T-039,E-03,M3,Scheduled delivery and subscriptions,feature,P2,L,todo,fullstack,T-035,FR-VIZ-07,"GA-only, deferred past the POC. A scheduled snapshot is delivered with permissions re-checked at send time."
T-040,E-04,M1,Browse and search catalog,feature,P0,M,todo,fullstack,T-029,FR-CON-01,Users can find a dashboard by name owner tag certification and recency.
T-041,E-04,M1,Provenance badges and how-is-this-calculated panel,feature,P0,M,todo,fullstack,T-020 T-031,FR-CON-02,Every chart shows its certification state and can reveal its metric definition and generated SQL.
T-042,E-04,M3,Favorites recents and personal collections,feature,P2,M,todo,fullstack,T-040,FR-CON-04,"GA-only, deferred past the POC. A user can pin dashboards and return to recently viewed ones."
T-043,E-04,M3,Comments and annotations with mentions,feature,P2,M,todo,fullstack,T-040,FR-CON-05,"GA-only, deferred past the POC. A user can comment on a dashboard or data point and mention a colleague."
T-044,E-05,M2,AI service skeleton provider abstraction and spend limits,feature,P0,L,todo,fullstack,T-001,ADR-011 FR-AI-09 Q-05,AI calls route through one service with per-user budget enforcement and hard cutoffs.
T-045,E-05,M2,Context builder and retrieval over the semantic layer,feature,P0,XL,todo,architect,T-044 T-019,ADR-012 FR-AI-05,"Given a question, the assembled context reliably contains the relevant models and metrics within the token budget."
T-046,E-05,M2,Ask the data natural language to certified metrics,feature,P0,L,todo,fullstack,T-045,FR-AI-01,A natural-language question returns an answer plus the metrics filters and SQL used.
T-047,E-05,M2,Refusal path when not answerable from certified metrics,feature,P0,M,todo,fullstack,T-046,FR-AI-02,"An unanswerable question produces an explicit decline and an offer to open a draft, never invented SQL."
T-048,E-05,M2,Build with AI natural language to draft dashboard spec,feature,P0,XL,todo,fullstack,T-045 T-031,FR-AI-03 FR-AI-04 NFR-PERF-03,"A described dashboard is generated, executed against real data, and shown with its spec diff, streaming progress throughout."
T-049,E-05,M2,Generate validate repair loop for spec output,feature,P0,M,todo,fullstack,T-048 T-012,FR-AI-06,"An invalid generated spec is repaired within bounded retries or reported as a failure, never shown broken."
T-050,E-05,M2,Conversation history per draft,feature,P1,M,todo,fullstack,T-048,FR-AI-08,A user can iteratively refine a draft without restating the original request.
T-051,E-05,M2,New metric proposal detection and flagging,feature,P1,M,todo,fullstack,T-048,FR-AI-07,A proposal introducing a new metric is labelled and routed to data-team review regardless of author role.
T-052,E-05,M2,AI eval suite and CI regression gate,feature,P1,L,todo,data-team,T-046,FR-AI-10,Prompt or model changes that regress the eval set beyond threshold fail CI.
T-053,E-05,M2,Data egress policy enforcement in context builder,feature,P0,M,todo,security,T-045,FR-AI-11 Q-05,Columns marked sensitive are provably excluded from any payload sent to the model provider.
T-054,E-05,M3,Prompt injection hardening for warehouse-derived content,feature,P1,M,todo,security,T-045,NFR-SEC-03,Adversarial text in a dimension value cannot alter assistant behavior; covered by regression tests.
T-055,E-06,M2,Draft workspace with watermarking and sharing limits,feature,P0,L,todo,fullstack,T-031,FR-CON-02 FR-VIZ-01,"Drafts are visibly marked unreviewed and cannot be subscribed to, embedded, or scheduled."
T-056,E-06,M2,Propose action opens a PR via GitHub App with author committer split,feature,P0,L,todo,fullstack,T-055 T-108,ADR-010 FR-GOV-01 Q-06,"A user with no git account opens a single atomic multi-file PR, authored to them and committed by the bot, with authoring-mode trailer captured."
T-057,E-06,M2,In-app PR status and bidirectional comment mirroring,feature,P0,L,todo,fullstack,T-056,FR-GOV-02,An author sees review state and replies to reviewer comments without leaving the app.
T-058,E-06,M2,CI gate validate compile assert lint,feature,P0,M,todo,fullstack,T-012 T-021,FR-GOV-03,A PR with an invalid or non-compiling spec cannot be merged.
T-059,E-06,M2,CI headless render and screenshot attachment,feature,P0,L,todo,architect,T-058 T-031,ADR-013 FR-GOV-04,Every PR touching a dashboard gets rendered screenshots posted within the CI time budget.
T-060,E-06,M2,CI metric diff before and after,feature,P0,L,todo,fullstack,T-058 T-014,FR-GOV-05,A changed metric definition posts before/after values and percent delta over a sample window.
T-061,E-06,M3,CI query cost estimation and threshold flagging,feature,P1,M,todo,fullstack,T-060,FR-GOV-06,A PR introducing a query above the cost threshold is flagged for reviewer attention.
T-062,E-06,M2,CODEOWNERS routing for review authority,chore,P0,S,todo,data-team,T-006,FR-GOV-07,Semantic model changes require data-team approval; dashboard-only changes route to the domain owner.
T-063,E-06,M2,Publish on merge with user-visible changelog,feature,P0,M,todo,fullstack,T-029 T-056,FR-GOV-08,A merge deploys the artifact and records a changelog entry visible in the app.
T-064,E-06,M3,One-click rollback of a merged artifact,feature,P1,M,todo,fullstack,T-063,FR-GOV-09,"GA-only, deferred past the POC. An admin restores a prior artifact version without a code deploy."
T-065,E-06,M3,Ephemeral preview environment per PR,feature,P2,L,todo,architect,T-059,FR-GOV-10,"GA-only, deferred past the POC. A reviewer can interact with the proposed dashboard live from a PR link."
T-066,E-06,M3,Audit trail UI derived from git history,feature,P1,M,todo,fullstack,T-063,FR-GOV-11,"Any artifact shows who changed what, when, and who approved it."
T-067,E-07,M1,CLI validate compile query and test commands,feature,P0,L,todo,fullstack,T-012 T-014,FR-DEV-01,An analytics engineer completes a full authoring cycle with no dependence on the hosted app.
T-068,E-07,M1,Local dev server with hot reload,feature,P0,M,todo,fullstack,T-067 T-031,FR-DEV-02,Editing a spec locally updates the previewed dashboard without a restart.
T-069,E-07,M1,Publish JSON Schemas for editor autocomplete,chore,P1,S,todo,fullstack,T-012,FR-DEV-03,VS Code offers completion and inline validation for every spec type.
T-070,E-07,M3,Spec formatter matching visual editor output,feature,P1,M,todo,fullstack,T-013,FR-DEV-04,Hand-edited and UI-edited specs converge on byte-identical output.
T-071,E-07,M4,Bulk refactor tooling for specs,feature,P2,M,todo,data-team,T-070 T-022,FR-DEV-05,Renaming a dimension updates every referencing spec in one reviewed commit.
T-072,E-08,M1,SSO via OIDC or SAML,feature,P0,M,todo,fullstack,T-010,FR-SEC-01,Users authenticate through the corporate IdP with no local password store.
T-073,E-08,M1,Group sync and role model,feature,P0,M,todo,fullstack,T-072,FR-SEC-02,IdP group membership maps to Viewer Builder Reviewer Admin roles automatically.
T-074,E-08,M1,Object-level permissions,feature,P0,M,todo,fullstack,T-073,FR-SEC-03,View edit and manage rights are enforced per dashboard model and connection.
T-075,E-08,M1,Row-level security enforced at compile time,feature,P0,XL,todo,architect,T-073 T-014,ADR-009 FR-SEC-04 Q-10,Every query path applies the requesting user's row predicate during compilation with no bypass.
T-076,E-08,M3,Column-level security and masking,feature,P1,L,todo,fullstack,T-075,FR-SEC-05,"GA-only, deferred past the POC. Masked columns stay masked in charts exports drill-through and AI context."
T-077,E-08,M1,Secrets management for warehouse connections,infra,P0,M,todo,security,T-024,FR-SEC-06 NFR-SEC-01,"No credential is present in the repo, an image, or any client payload."
T-078,E-08,M1,Immutable audit log,feature,P0,M,todo,fullstack,T-072,FR-SEC-07,Auth permission query export and AI events are recorded append-only and queryable.
T-079,E-08,M3,Threat model and penetration test,chore,P0,L,todo,security,T-075 T-054,NFR-SEC-03,"GA-only, deferred past the POC. Threat model documented and pen-test findings remediated before GA."
T-080,E-09,M1,Connection management with test and rotate,feature,P1,M,todo,fullstack,T-077,FR-ADM-01,"An admin adds, tests, and rotates a warehouse connection per environment."
T-081,E-09,M1,Observability logging tracing and RED metrics,infra,P0,L,todo,architect,T-010,ADR-015 NFR-OPS-01,"Every query is traceable end to end to a user, dashboard, and spec version."
T-082,E-09,M3,Usage analytics for content and cost,feature,P1,M,todo,fullstack,T-081,FR-ADM-02,"GA-only, deferred past the POC. Admins see most-viewed and unused dashboards plus slowest and costliest queries."
T-083,E-09,M3,Cache administration and scheduled pre-warm,feature,P2,M,todo,fullstack,T-026,FR-ADM-04,"GA-only, deferred past the POC. An admin inspects hit rate, forces invalidation, and schedules pre-warm per dashboard."
T-084,E-09,M3,Cost attribution and AI spend reporting,feature,P1,M,todo,fullstack,T-081 T-044,NFR-COST-01,"GA-only, deferred past the POC. Warehouse and AI spend are attributable to user and dashboard with alert thresholds."
T-085,E-09,M2,Feature flag infrastructure,infra,P1,S,todo,fullstack,T-010,NFR-OPS-03,AI features and new chart types can be enabled per user group without a deploy.
T-086,E-09,M3,Load test to Tier 2 concurrency,chore,P0,L,todo,architect,T-025 T-081,NFR-SCALE-01 NFR-PERF-01 NFR-PERF-02,500 named / 50 concurrent users sustain p95 warm load under 2.5 seconds.
T-087,E-09,M1,Zero-downtime deploy and rollback runbook,infra,P0,M,todo,architect,T-029,NFR-AVAIL-02,A deploy completes with no dropped sessions and a documented rollback path.
T-088,E-10,M1,Legacy content inventory with usage statistics,discovery,P0,M,todo,product,T-002,FR-MIG-01 Q-08 Q-07,"Every legacy report is listed with view counts, used to sequence migration and to select the pilot subject area."
T-089,E-10,M4,Side-by-side validation harness,feature,P1,L,todo,data-team,T-088 T-021,FR-MIG-02,A legacy report and its Tailwind equivalent are diffed automatically as migration evidence.
T-090,E-10,M4,Coexistence directory and authoritative-source signaling,feature,P1,M,todo,product,T-088,FR-MIG-04,"During coexistence users can always tell which tool is authoritative for a subject area, and divergent numbers are flagged."
T-091,E-10,M4,Spike assisted conversion of legacy workbooks,spike,P3,M,todo,fullstack,T-088,FR-MIG-03,A timeboxed spike reports whether parsed workbooks yield useful starting-point specs; no importer is committed.
T-092,E-11,M1,Recruit and commit named pilot participants,discovery,P0,S,todo,product,T-001 T-088,Q-07,Five to ten named business users and one to two analytics engineers are committed in writing.
T-093,E-11,M2,Backfill metric documentation for the pilot subject area,chore,P0,L,todo,data-team,T-019 T-092 T-119,Q-09 FR-AI-05,"Every model and metric in the pilot area has a description good enough to ground the assistant, bootstrapped from dbt manifest metadata where available."
T-094,E-11,M2,Instrument the thesis metrics,feature,P0,M,todo,fullstack,T-057,FR-GOV-02 Q-13,PR merge rate and median reviewer time for business-authored PRs are measured automatically.
T-095,E-11,M3,Accessibility audit of the consumption path,chore,P1,M,todo,fullstack,T-041,NFR-A11Y-01 Q-16,"GA-only, deferred past the POC. WCAG 2.1 AA audit completed for viewing and filtering with findings triaged."
T-096,E-11,M2,Agree review SLA with the data team,discovery,P0,S,todo,product,T-092,Q-13,A written median review-turnaround target is owned by the data team's manager.
T-097,E-01,M0,Dialect conformance suite v0 as engine acceptance test,feature,P0,M,todo,fullstack,T-005 T-014,FR-SEM-13 FR-SEM-12 FR-SEM-14 NFR-QUAL-02 ADR-003,"Around twenty cases covering four join topologies, the grain matrix and each metric shape pass on the certified dialect and on DuckDB, parameterized by dialect, with negative controls for fan-out and chasm."
T-098,E-00,M3,Seed a second tenant in non-production environments,infra,P2,M,todo,fullstack,T-009 T-010,NFR-TEN-02,"GA-only, deferred past the POC per 08-poc-scope section 6. Non-prod runs two tenants and a test proves no artifact, cache entry, or query result crosses between them."
T-099,E-02,M1,Pluggable warehouse cost model interface,feature,P1,M,todo,architect,T-024,FR-GOV-06 NFR-COST-01 FR-SEM-12,"Query cost is estimated through an interface that accommodates bytes-scanned, credit, and DBU models without changing callers."
T-100,E-02,M3,Spike serving or extract engine for interactive query latency,spike,P2,M,todo,architect,T-086,NFR-PERF-01 NFR-SCALE-03,"Timeboxed spike reports, using Tier-2 load-test data, whether result caching alone meets p95 targets or a materialized extract engine is warranted."
T-101,E-10,M4,Coexistence review checkpoint two quarters after GA,discovery,P1,S,todo,product,T-090,Q-08 FR-MIG-04,A dated checkpoint reviews legacy usage decline and decides whether adoption suffices or a forcing function is needed.
T-102,E-01,M1,Enforce single-definition guarantee for metrics,feature,P0,M,todo,fullstack,T-012 T-019,FR-SEM-02,"CI rejects duplicate metric names and any metric defined outside the semantic layer, including dashboard-local definitions."
T-103,E-09,M2,Degraded mode when AI provider or git host is unavailable,feature,P0,M,todo,fullstack,T-044 T-056,NFR-AVAIL-01,"With the AI provider and git host both unreachable, viewing filtering and drilling still work and the unavailable features degrade with a clear message."
T-104,E-09,M3,Backup and restore for operational state with RPO RTO validation,infra,P1,M,todo,architect,T-010,NFR-AVAIL-03,"GA-only, deferred past the POC. A restore drill meets RPO of one hour and RTO of four hours and is documented as a runbook."
T-105,E-08,M0,Dependency and container scanning in CI,infra,P1,S,todo,security,T-010,NFR-SEC-02,Builds fail on known critical vulnerabilities in dependencies or base images.
T-106,E-08,M3,Per-user warehouse identity passthrough via OAuth,feature,P2,L,todo,architect,T-075 T-077,FR-SEC-08,"GA-only, deferred past the POC. Where the warehouse supports it, queries run under the end user identity instead of a shared service account, with cache keys adjusted accordingly."
T-107,E-11,M0,Collect warehouse volumetrics and integration inventory,discovery,P1,S,todo,product,,Q-19 NFR-SCALE-03,"Largest dashboard-backing table size and typical scan volume are measured, and every OPEN row in 07-domain-model section 4 is resolved."
T-108,E-00,M0,Create analytics repo and GitHub App with branch protection,infra,P0,S,todo,product,,Q-06 FR-GOV-01 FR-GOV-07,"App installed with least-privilege permissions, private key in the secret store, and branch protection requiring CODEOWNERS review plus passing checks."
T-109,E-01,M0,Freshness class as a declared spec property,feature,P0,M,todo,fullstack,T-012,FR-FRESH-01 FR-FRESH-03 ADR-004,"Every dashboard declares batch standard or operational, defaulting to standard, and each chart surfaces its class and actual as-of timestamp."
T-110,E-02,M1,Freshness-class-driven cache behaviour,feature,P0,L,todo,architect,T-025 T-109,FR-FRESH-02 NFR-SCALE-03,"Cache TTL, pre-warm, and bypass are derived from the declared class with no author-facing cache configuration, and hit-rate targets are reported per class."
T-111,E-02,M1,Upstream refresh completion signal drives invalidation,feature,P1,M,todo,fullstack,T-026 T-030,FR-FRESH-05,"A dbt run-completion webhook invalidates batch and standard entries, with warehouse metadata polling as documented fallback."
T-112,E-06,M3,Operational freshness class requires data-team approval with cost surfaced,feature,P1,M,todo,fullstack,T-062 T-061 T-109,FR-FRESH-04,Promoting a dashboard to operational routes to data-team review with projected query cost shown in the PR.
T-113,E-09,M3,Declared versus achieved freshness monitoring,feature,P2,M,todo,fullstack,T-081 T-110,FR-FRESH-06,"GA-only, deferred past the POC. Admins see per-dashboard declared class against freshness actually achieved."
T-114,E-11,M2,Review deferral triggers at M2 exit,discovery,P0,S,todo,product,T-094,Q-05,Every trigger in 08-poc-scope section 4 is checked and any that fired is scheduled before the next release.
T-115,E-01,M0,Engine profile lint rejecting non-deterministic model constructs,feature,P0,S,todo,fullstack,T-005,NFR-QUAL-01 FR-SEM-11 FR-SEM-06 ADR-003,"A semantic model using a JavaScript or templated definition, or missing its required metadata block, is rejected by the validator in the app, the CLI and CI alike, and flags any use of a Cloud-gated Cube feature as an error per ADR-003 D1a."
T-116,E-08,M0,Declarative access policies and default-deny on the engine boundary,feature,P0,M,todo,fullstack,T-014,FR-SEC-04 FR-SEM-14 ADR-003 ADR-014,"Two security contexts produce two different SQL predicates and two different cache keys, a query with no resolved tenant is rejected, a security context matching no Cube group is rejected rather than served every row, and the engine is unreachable except through the facade."
T-117,E-08,M0,Prove per-request row predicate resolution not per-tenant,feature,P0,M,todo,architect,T-116,FR-SEM-15 FR-SEC-04 ADR-014,"A test proves two users in the same tenant receive different row sets from one cached-eligible query, and that a per-tenant-only security context fails the test."
T-118,E-02,M0,Spike whether Cube Store is required with pre-aggregations disabled,spike,P0,S,done,architect,T-005,ADR-003 ADR-008 ADR-001 NFR-AVAIL-01 FR-SEC-04,"Answered in ADR-003: Cube Store and the refresh worker are not required provided CUBEJS_CACHE_AND_QUEUE_DRIVER is set to memory explicitly, at the cost of a single-replica Cube; the three residual runtime checks are folded into T-116 and T-132."
T-119,E-07,M1,Bootstrap semantic models and metadata from the dbt manifest,feature,P1,M,todo,data-team,T-012 T-019,FR-DEV-06 FR-AI-05 Q-11,"A dbt manifest generates draft cubes with descriptions and ownership prefilled, reviewed by a human before merge rather than trusted blindly."
T-120,E-11,M0,Wizard-of-oz test of the authoring hypothesis before any code,discovery,P0,L,todo,product,T-123 T-127,Q-07 FR-GOV-01 FR-AI-03,"Nine tasks run per 10-wizard-of-oz-protocol.md v2 with outcomes recorded against the codebook, headline reported as merged-and-correct over tasks that produced a PR."
T-121,E-11,M0,Interaction prototype of the three novel surfaces,spike,P0,M,todo,product,T-120,FR-AI-03 FR-AI-04 FR-GOV-02 FR-CON-02,"A clickable prototype covers AI authoring, the reviewer evidence view, and the provenance surface, and has been walked through with a real author and a real reviewer."
T-122,E-11,M0,Decide how much of the generated spec a non-technical author sees,discovery,P0,S,todo,product,T-121,FR-AI-04 FR-VIZ-02,"A written decision on spec visibility for business authors, with reasoning, feeding ADR-005 and the visual editor rather than the file format."
T-123,E-11,M0,Recruit three authors and a reviewer for the wizard-of-oz run,discovery,P0,S,todo,product,,Q-07 Q-13,"Three business users who are the original requesters of their own tasks, plus a reviewer and an auditor drawn from data-team members NOT building Tailwind, and a written reviewer turnaround commitment."
T-124,E-11,M0,Pre-register the wizard-of-oz study,discovery,P0,S,todo,product,,Q-05 Q-07,"Denominator, outcome definitions, planted-error class, adjudicator, and a written merge-rate prediction circulated before task one, recording who is building Tailwind and who is judging the study, confirmed not to overlap."
T-125,E-11,M0,Independent correctness audit of every merged wizard-of-oz artifact,discovery,P0,S,todo,data-team,T-120,FR-GOV-05 FR-SEM-02,"An analytics engineer who was not the reviewer audits each merged artifact against its original request and records the result, producing the headline merged-and-correct number."
T-126,E-00,M0,Migrate tickets to GitHub Issues and port the traceability validator to CI,infra,P1,M,todo,fullstack,T-010 T-108,NFR-OPS-02,"Issues carry req_ids and depends_on in a structured block, a GitHub Action enforces all fourteen validator checks against the API, and TICKETS.csv is retired in the same PR that lands the Action."
T-127,E-11,M0,Freeze and tag a semantic model for the pilot subject area,feature,P0,M,todo,data-team,T-124,FR-SEM-06 FR-AI-05 Q-07,"One subject area modelled with real descriptions, committed and tagged before the nine tasks are selected, built by someone who is not the wizard-of-oz operator."
T-128,E-03,M1,Remaining v1 chart types,feature,P1,M,todo,fullstack,T-031,FR-VIZ-03,"Area, scatter, pie/donut, pivot table, sparkline, heatmap and dual-axis combo render from spec."
T-129,E-03,M1,Headless server-side chart rendering path,feature,P0,M,todo,fullstack,T-031,FR-GOV-04 FR-VIZ-06 ADR-005 ADR-013,"A dashboard spec renders to an image outside a browser session, which is the capability CI screenshots and PDF export both depend on."
T-130,E-08,M0,Tenancy schema guard: tenant_id plus RLS on every tenant-scoped table,infra,P0,S,todo,fullstack,T-010,NFR-TEN-01 FR-SEC-04 ADR-014,"Adding a tenant-scoped table without tenant_id NOT NULL or without an enabled row-level security policy fails the build, checked against an explicit allow-list of non-tenant tables."
T-131,E-03,M1,"Chart accessibility baseline: data-table fallback, safe palette, keyboard traversal",feature,P1,M,todo,fullstack,T-031,NFR-A11Y-01 ADR-005,"Every chart has a keyboard-reachable data-table equivalent, the default palette passes a colourblind simulation, and arrow keys move a focus cursor along a series with an aria-live announcement."
T-132,E-02,M0,"Cube Core hardening baseline: pinned version, memory driver, API scopes, group mapping",infra,P0,S,todo,fullstack,T-010,ADR-003 ADR-001 FR-SEC-04 FR-SEM-14 NFR-SEC-01,"A checked-in Cube config and env file sets the pinned version, memory cache-and-queue driver, restricted API scopes, no Postgres SQL port, and context_to_groups, and a test proves /v1/load answers with no Cube Store container present."
